sku,manufacturer_sku,brand,name,description,category,subcategory,product_line,product_url,pack_size,unit_of_measure,price,price_basis,availability,min_quantity
APR-DISP-001,,CARGUS,Isolation Gown Tie-Back Medium Knit Cuff Sky Blue 10/pk,Isolation Gown Tie-Back Medium Knit Cuff Sky Blue 10/pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,10/pk,pack,19.95,pack,in_stock,1
APR-DISP-002,,CARGUS,Headrest Covers Paper 10 x 13 White 500/bx,Headrest Covers Paper 10 x 13 White 500/bx,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,500/bx,box,29.95,box,in_stock,1
APR-DISP-003,,CARGUS,Non-Woven Gauze Sponges Non Sterile 4-ply,Non-Woven Gauze Sponges Non Sterile 4-ply,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,,unknown,34.95,unknown,in_stock,1
APR-DISP-004,,CARGUS,Protect Plus Disposable Lab Jackets Hip Length 10/pk,Protect Plus Disposable Lab Jackets Hip Length 10/pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,10/pk,pack,29.99,pack,in_stock,1
APR-DISP-005,,CARGUS,Protect Plus Disposable Lab Coats Knee Length 10/pk,Protect Plus Disposable Lab Coats Knee Length 10/pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,10/pk,pack,32.99,pack,in_stock,1
APR-DISP-006,,CARGUS,Paper Tray Covers Ritter B 8-1/2 x 12-1/4 1000/cs,Paper Tray Covers Ritter B 8-1/2 x 12-1/4 1000/cs,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,1000/cs,case,29.95,case,in_stock,1
APR-DISP-007,,CARGUS,Disposable Plastic Cups 5oz 1000/cs,Disposable Plastic Cups 5oz 1000/cs,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,1000/cs,case,29.95,case,in_stock,1
APR-DISP-008,,CARGUS,Bib Holder Autoclavable Silicon 1/Pk,Bib Holder Autoclavable Silicon 1/Pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,1/pk,pack,3.99,pack,in_stock,1
APR-DISP-009,,CARGUS,Full Chair Plastic Sleeves 29x80 125/bx,Full Chair Plastic Sleeves 29x80 125/bx,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,125/bx,box,42.95,box,in_stock,1
APR-DISP-010,,CARGUS,Cotton Tipped Applicators,Cotton Tipped Applicators,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,,unknown,6.95,unknown,in_stock,1
APR-DISP-011,,CARGUS,Half Chair Covers Plastic 27.5x24 225/bx,Half Chair Covers Plastic 27.5x24 225/bx,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,225/bx,box,34.95,box,in_stock,1
APR-DISP-012,,CARGUS,Cotton Rolls Non-Sterile #2 2000/bx,Cotton Rolls Non-Sterile #2 2000/bx,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,2000/bx,box,16.95,box,in_stock,1
APR-DISP-013,,CARGUS,Tray Sleeves Plastic Ritter B 10.5x14 500/bx,Tray Sleeves Plastic Ritter B 10.5x14 500/bx,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,500/bx,box,23.95,box,in_stock,1
APR-DISP-014,,CARGUS,Dappen Dishes Disposable,Dappen Dishes Disposable,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,,unknown,15.95,unknown,in_stock,1
APR-DISP-015,,CARGUS,Plastic Headrest Covers 250/Pk,Plastic Headrest Covers 250/Pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,250/pk,pack,13.95,pack,in_stock,1
APR-DISP-016,,CARGUS,Quick Tips Disposable Metal Air Water Syringe Tips White,Quick Tips Disposable Metal Air Water Syringe Tips White,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,,unknown,37.95,unknown,in_stock,1
APR-DISP-017,,CARGUS,Multicolored Disposable Plastic Air Water Syringe Tips 1500/pk,Multicolored Disposable Plastic Air Water Syringe Tips 1500/pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,1500/pk,pack,150.00,pack,in_stock,1
APR-DISP-018,,CARGUS,Lock Tight Air Water Syringe Tips,Lock Tight Air Water Syringe Tips,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,,unknown,38.95,unknown,in_stock,1
APR-DISP-019,,CARGUS,Air Water Syringe Tips Metal 3-way A-Dec Style 5/pk,Air Water Syringe Tips Metal 3-way A-Dec Style 5/pk,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,5/pk,pack,22.95,pack,in_stock,1
APR-DISP-020,,CARGUS,Patient Bibs 2ply 13x18 500/bx,Patient Bibs 2ply 13x18 500/bx,Dental disposables,Disposable Materials,Disposable Materials,https://aprontodental.com/dental-supplies/disposable-materials.html,500/bx,box,29.95,box,in_stock,1
