sku,manufacturer_sku,brand,name,description,category,subcategory,product_line,product_url,pack_size,unit_of_measure,price,price_basis,availability,min_quantity
1641-716,,,Pacon Manufacturing Patient Drape 18 x 26 White/Blue 2-Ply Tissue 1-Ply Poly Case of 500,Pacon Manufacturing Patient Drape 18 x 26 White/Blue 2-Ply Tissue 1-Ply Poly Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
1769-446,,Polyback,Polyback Patient Towel 19 x 13 Teddy Bear 3-Ply Tissue 1-Ply Poly Case of 500,Polyback Patient Towel 19 x 13 Teddy Bear 3-Ply Tissue 1-Ply Poly Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
2093-996,,Econoback,Econoback Patient Towel 19 x 13 Teddy Bear 2-Ply Tissue 1-Ply Poly Case of 500,Econoback Patient Towel 19 x 13 Teddy Bear 2-Ply Tissue 1-Ply Poly Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
2403-963,,,Patient Bib 13 x 18 Yellow 3-Ply Tissue 1-Ply Poly Waffle-Embossed Case of 500,Patient Bib 13 x 18 Yellow 3-Ply Tissue 1-Ply Poly Waffle-Embossed Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
3205-078,,Polyback,Polyback Patient Towel 19 x 13 Happy Feet 3-Ply Tissue 1-Ply Poly Case of 500,Polyback Patient Towel 19 x 13 Happy Feet 3-Ply Tissue 1-Ply Poly Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
3297-345,ACE,,ACE Reusable Huck Towel 17 x 24 Blue Pack of 12,ACE Reusable Huck Towel 17 x 24 Blue Pack of 12,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Pack of 12,pack,,unknown,backordered,1
3542-678,,,Patient Bib 13 x 18 Bugs and Things Design 2-Ply Tissue 1-Ply Poly Case of 250,Patient Bib 13 x 18 Bugs and Things Design 2-Ply Tissue 1-Ply Poly Case of 250,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 250,case,,unknown,backordered,1
4024-879,,Econoback,Econoback Pink with a Purpose Patient Towel 19 x 13 Pink Ribbons 2-Ply Tissue 1-Ply Poly Case of 500,Econoback Pink with a Purpose Patient Towel 19 x 13 Pink Ribbons 2-Ply Tissue 1-Ply Poly Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
4388-245,ACE,,ACE Implant Drape 40 x 52 White 1-Ply Paper 1-Ply Poly,ACE Implant Drape 40 x 52 White 1-Ply Paper 1-Ply Poly,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Each,each,,unknown,backordered,1
5991-180,Medicom,SafeBasics,Medicom SafeBasics Dry-Back Bibs 3-Ply Poly Lavender Case of 500,Medicom SafeBasics Dry-Back Bibs 3-Ply Poly Lavender Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
6087-085,UNiPACK,UNiPACK,UNiPACK Disposable Patient Bibs Blue Case of 500,UNiPACK Disposable Patient Bibs Blue Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
6087-129,UNiPACK,UNiPACK,UNiPACK Disposable Patient Bibs White Case of 500,UNiPACK Disposable Patient Bibs White Case of 500,Dental disposables,Patient Bibs,Patient Bibs,https://shop.benco.com/Browse/ByCategory?Categorization.Tab=Disposables&Categorization.TabId=12&Categorization.Category=Patient%20Bibs&Categorization.CategoryId=482,Case of 500,case,,unknown,backordered,1
