sku,manufacturer_sku,brand,name,description,category,subcategory,product_line,product_url,pack_size,unit_of_measure,price,price_basis,availability,min_quantity
M19-0650,3921597252,Mani,Finger Plugger Size 15 - 25mm Pkg of 6,Mani Finger Plugger Size 15 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0652,3922097252,Mani,Finger Plugger Size 20 - 25mm Pkg of 6,Mani Finger Plugger Size 20 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,6.95,pack,in_stock,1
M19-0654,3922597252,Mani,Finger Plugger Size 25 - 25mm Pkg of 6,Mani Finger Plugger Size 25 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,6.95,pack,in_stock,1
M19-0656,3923097252,Mani,Finger Plugger Size 30 - 25mm Pkg of 6,Mani Finger Plugger Size 30 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0658,3923597252,Mani,Finger Plugger Size 35 - 25mm Pkg of 6,Mani Finger Plugger Size 35 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,6.95,pack,in_stock,1
M19-0660,3924097252,Mani,Finger Plugger Size 40 - 25mm Pkg of 6,Mani Finger Plugger Size 40 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,6.95,pack,in_stock,1
M19-0662,3921540252,Mani,Finger Plugger Asst 15-40 - 25mm Pkg of 6,Mani Finger Plugger Asst 15-40 - 25mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0677,F/PLUG/15-21MM,Mani,Finger Plugger Size 15 - 21mm Pkg of 6,Mani Finger Plugger Size 15 - 21mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,6.95,pack,in_stock,1
M19-0679,F/PLUG/25-21MM,Mani,Finger Plugger Size 25 - 21mm Pkg of 6,Mani Finger Plugger Size 25 - 21mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0680,F/PLUG/30-21MM,Mani,Finger Plugger Size 30 - 21mm Pkg of 6,Mani Finger Plugger Size 30 - 21mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0681,F/PLUG/35-21MM,Mani,Finger Plugger Size 35 - 21mm Pkg of 6,Mani Finger Plugger Size 35 - 21mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0682,F/PLUG/40-21MM,Mani,Finger Plugger Size 40 - 21mm Pkg of 6,Mani Finger Plugger Size 40 - 21mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
M19-0683,F/PLUG/15-40,Mani,Finger Plugger Size 15-40 - 21mm Pkg of 6,Mani Finger Plugger Size 15-40 - 21mm Pkg of 6,Endodontics,Endo Finger Pluggers,Mani Finger Pluggers,https://www.pearsondental.com/catalog/product.asp?majcatid=13171&catid=1051&subcatid=50159&pid=2660,Pkg of 6,pack,5.95,pack,in_stock,1
