sku,manufacturer_sku,brand,name,description,category,subcategory,product_line,product_url,pack_size,unit_of_measure,price,price_basis,availability,min_quantity
T-035S,,,Ultra-Thin Disc 7/8 PKG of 100,Ultra-Thin Disc 7/8 PKG of 100,Laboratory Products,Abrasives & Alloys,Cutting Discs,https://www.tddentalsupply.com/abrasivesalloys,PKG of 100,pack,33.00,each,in_stock,1
T-035S,,,Double Sided Sintered Diamond Disc 5/8,Double Sided Sintered Diamond Disc 5/8,Laboratory Products,Abrasives & Alloys,Cutting Discs,https://www.tddentalsupply.com/abrasivesalloys,Each,each,12.00,each,in_stock,1
T-036S,,,Double Sided Sintered Diamond Disc 7/8,Double Sided Sintered Diamond Disc 7/8,Laboratory Products,Abrasives & Alloys,Cutting Discs,https://www.tddentalsupply.com/abrasivesalloys,Each,each,12.00,each,in_stock,1
T-035B,,,Cutting Disc 45 x 0.35mm,Cutting Disc 45 x 0.35mm,Laboratory Products,Abrasives & Alloys,Cutting Discs,https://www.tddentalsupply.com/abrasivesalloys,Each,each,30.00,each,in_stock,1
T-035A,,,Cutting Disc 35 x 0.3mm,Cutting Disc 35 x 0.3mm,Laboratory Products,Abrasives & Alloys,Cutting Discs,https://www.tddentalsupply.com/abrasivesalloys,Each,each,25.00,each,in_stock,1
T-037B,,,Silicone Abrasive Knife Edge,Silicone Abrasive Knife Edge,Laboratory Products,Abrasives & Alloys,Silicone Abrasives,https://www.tddentalsupply.com/abrasivesalloys,PKG of 100,pack,33.00,pack,in_stock,1
T-037A,,,Silicone Abrasive Square Edge,Silicone Abrasive Square Edge,Laboratory Products,Abrasives & Alloys,Silicone Abrasives,https://www.tddentalsupply.com/abrasivesalloys,PKG of 100,pack,33.00,pack,in_stock,1
037C,,,Silicone Abrasive Cylinder Edge,Silicone Abrasive Cylinder Edge,Laboratory Products,Abrasives & Alloys,Silicone Abrasives,https://www.tddentalsupply.com/abrasivesalloys,PKG of 100,pack,33.00,pack,in_stock,1
T-170G1,,,Green Ceramic Bonded Diamond Stone 2mm x 22 dia,Green Ceramic Bonded Diamond Stone for Zirconia 2mm x 22 dia,Laboratory Products,Abrasives & Alloys,Green Ceramic Bonded Diamond Stone,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170G2,,,Green Ceramic Bonded Diamond Stone 4.5mm x 22 dia,Green Ceramic Bonded Diamond Stone for Zirconia 4.5mm x 22 dia,Laboratory Products,Abrasives & Alloys,Green Ceramic Bonded Diamond Stone,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170G3,,,Green Ceramic Bonded Diamond Stone 6.2mm x 13 dia,Green Ceramic Bonded Diamond Stone for Zirconia 6.2mm x 13 dia,Laboratory Products,Abrasives & Alloys,Green Ceramic Bonded Diamond Stone,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170G4,,,Green Ceramic Bonded Diamond Stone 2mm x 22 dia,Green Ceramic Bonded Diamond Stone for Zirconia 2mm x 22 dia,Laboratory Products,Abrasives & Alloys,Green Ceramic Bonded Diamond Stone,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170G5,,,Green Ceramic Bonded Diamond Stone 5mm x 13 dia,Green Ceramic Bonded Diamond Stone for Zirconia 5mm x 13 dia,Laboratory Products,Abrasives & Alloys,Green Ceramic Bonded Diamond Stone,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170G6,,,Green Ceramic Bonded Diamond Stone 4.5mm x 13 dia,Green Ceramic Bonded Diamond Stone for Zirconia 4.5mm x 13 dia,Laboratory Products,Abrasives & Alloys,Green Ceramic Bonded Diamond Stone,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170E10,,,Yellow Medium Grinder 13mm x 2 dia,Yellow Medium Grinder for Lithium Disilicate Zirconia and Feldspathic Porcelain 13mm x 2 dia,Laboratory Products,Abrasives & Alloys,Yellow Medium Grinders,https://www.tddentalsupply.com/abrasivesalloys,Each,each,29.00,each,in_stock,1
T-170E2,,,Yellow Medium Grinder 13mm x 5 dia,Yellow Medium Grinder for Lithium Disilicate Zirconia and Feldspathic Porcelain 13mm x 5 dia,Laboratory Products,Abrasives & Alloys,Yellow Medium Grinders,https://www.tddentalsupply.com/abrasivesalloys,Each,each,29.00,each,in_stock,1
T-170E3,,,Yellow Medium Grinder 13mm x 4.5 dia,Yellow Medium Grinder for Lithium Disilicate Zirconia and Feldspathic Porcelain 13mm x 4.5 dia,Laboratory Products,Abrasives & Alloys,Yellow Medium Grinders,https://www.tddentalsupply.com/abrasivesalloys,Each,each,29.00,each,in_stock,1
T-170K33,,,Blue Diamond Rubber Polisher Square Edge 3mm x 22 dia,Blue Diamond Rubber Polisher for Zirconia Square Edge 3mm x 22 dia,Laboratory Products,Abrasives & Alloys,Blue Diamond Rubber Polisher,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-170K23,,,Blue Diamond Rubber Polisher Knife Edge 0.7mm x 25 dia,Blue Diamond Rubber Polisher for Zirconia Knife Edge 0.7mm x 25 dia,Laboratory Products,Abrasives & Alloys,Blue Diamond Rubber Polisher,https://www.tddentalsupply.com/abrasivesalloys,Each,each,16.99,each,in_stock,1
T-072,,,Standard HP Mandrel #304,Standard HP Mandrel #304,Laboratory Products,Abrasives & Alloys,Tool Accessories,https://www.tddentalsupply.com/abrasivesalloys,PKG of 100,pack,50.00,pack,in_stock,1
T-072B,,,Large Head Mandrel,Large Head Mandrel,Laboratory Products,Abrasives & Alloys,Tool Accessories,https://www.tddentalsupply.com/abrasivesalloys,PKG of 100,pack,85.00,pack,in_stock,1
T-170BH,,,Bur Holder,Bur Holder,Laboratory Products,Abrasives & Alloys,Tool Accessories,https://www.tddentalsupply.com/abrasivesalloys,Each,each,18.00,each,in_stock,1
T-060Bur-Hold,,,Aluminum HP and FG Bur Holder with 21 Holes,Aluminum HP and FG Bur Holder with 21 Holes,Laboratory Products,Abrasives & Alloys,Tool Accessories,https://www.tddentalsupply.com/abrasivesalloys,Each,each,18.00,each,in_stock,1
T-068S,,,Non-Precious Ceramic Alloys Solder,Non-Precious Ceramic Alloys Solder,Laboratory Products,Abrasives & Alloys,Alloys,https://www.tddentalsupply.com/abrasivesalloys,dwt,dwt,9.50,each,in_stock,1
T-068B,,,Non-Precious Ceramic Alloys,Non-Precious Ceramic Alloys,Laboratory Products,Abrasives & Alloys,Alloys,https://www.tddentalsupply.com/abrasivesalloys,oz,oz,6.15,each,in_stock,1
